Project	Fully-Qualified Class Name	Module	Description
client	com.l3com.apps.allocation.gui.renderers.AllocationTableDirtyRenderer.java	Allocation	"An extension of javax.swing.JPanel that contains user interface components such as text boxes, buttons, and dropdown boxes. Tabs are used to organize and lay out information within a module"
client	com.l3com.apps.allocation.gui.renderers.DynamicUpdatePercentageTableHeaderRenderer.java	Allocation	"Renders the column headers in a table that is filterable. Displays an icon to indicate whether a column currently has filters applied. Displays a second icon to indicate if the column is currently sorted, and in what direction."
client	com.l3com.apps.allocation.gui.renderers.LowerAllocationTableRenderer.java	Allocation	"An extension of javax.swing.table.DefaultTableCellRenderer. Provides a user-friendly, rendered value for every object in a JTable. Can also supply background color, font color, and font styling (italics, bold, etc.) as visual indicators to the user."
client	com.l3com.apps.allocation.manager.AllocationManager.java	Allocation	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.allocation.manager.AllocationRepository.java	Allocation	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.allocation.util.FundingAllocationUtil.java	Allocation	"A utility class that provides standardized functionality to a module, such as formatting a date or removing unprintable characters from text"
client	com.l3com.apps.AppsClient.java	  	  
client	com.l3com.apps.assetmgmt.controller.AssetMgmtMainController.java	Attachment Management	A controller that follows the Model-View-Controller pattern to coordinate communication between the view and the model
client	com.l3com.apps.assetmgmt.controller.AssetPanel.java	Attachment Management	A controller that follows the Model-View-Controller pattern to coordinate communication between the view and the model
client	com.l3com.apps.assetmgmt.data.AssetWrapper.java	Attachment Management	Adds extra functionality to JAXB-generated classes by compositing a JAXB message object within a wrapper object. Common functionality provided by wrapper classes includes boolean flags that indicate whether an object is selected within a list or table.
client	com.l3com.apps.assetmgmt.data.GetSet.java	Attachment Management	"A utility class containing accessor and mutator methods for an object. ""GetSet""classes are used by both view and model classes. In views, they provide the rendered (or user-friendly) value for each of an object's fields. In models, they provide the raw value for each field. If a field is editable by the user, a GetSet class provides ""reverse-translation""between what the user enters and the allowable values and/or data types for a field."
client	com.l3com.apps.assetmgmt.gui.AssetMgmtMainWindow.java	Attachment Management	"An extension of javax.swing.JInternalFrame that fulfills the role of view in the Model-View-Controller pattern. Internal frames are displayed within the APPS desktop, and support tiling, resizing, minimizing, and maximizing. They contain other Swing components, such as JPanels and JScrollPanes, to organize the module's user interface widgets"
client	com.l3com.apps.assetmgmt.gui.AttachedFilesPanel.java	Attachment Management	"An extension of javax.swing.JPanel that contains user interface components such as text boxes, buttons, and dropdown boxes. Tabs are used to organize and lay out information within a module"
client	com.l3com.apps.assetmgmt.gui.filter.AssetFilterPopup.java	Attachment Management	A graphical component that displays the filters that can be applied to a table column.
client	com.l3com.apps.assetmgmt.gui.filter.AssetFilterRow.java	Attachment Management	A row in a FilterPopup table that contains a checkbox and a value that can be applied as a table filter by checking or unchecking the checkbox.
client	com.l3com.apps.assetmgmt.gui.filter.AssetTableHeaderRenderer.java	Attachment Management	"Renders the column headers in a table that is filterable. Displays an icon to indicate whether a column currently has filters applied. Displays a second icon to indicate if the column is currently sorted, and in what direction."
client	com.l3com.apps.assetmgmt.gui.filter.AssetTableModel.java	Attachment Management	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.assetmgmt.gui.filter.AssetTableSorter.java	Attachment Management	Contains the logic for how to compare and sort the objects in a table based on the sort criteria the user has applied to the table's columns
client	com.l3com.apps.assetmgmt.gui.renderer.AttachedFilesTableCellRenderer.java	Attachment Management	"An extension of javax.swing.table.DefaultTableCellRenderer. Provides a user-friendly, rendered value for every object in a JTable. Can also supply background color, font color, and font styling (italics, bold, etc.) as visual indicators to the user."
client	com.l3com.apps.assetmgmt.manager.AssetMgmtManager.java	Attachment Management	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.assetmgmt.manager.AssetMgmtRepository.java	Attachment Management	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.assetmgmt.manager.AssetUploadTask.java	Attachment Management	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.assetmgmt.security.AssetMgmtSecurityManager.java	Attachment Management	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.ccnmgmt.controller.CCNController.java	CCN (Change Control Number) Management	A controller that follows the Model-View-Controller pattern to coordinate communication between the view and the model
client	com.l3com.apps.ccnmgmt.gui.CCNMasterWindow.java	CCN (Change Control Number) Management	"An extension of javax.swing.JInternalFrame that fulfills the role of view in the Model-View-Controller pattern. Internal frames are displayed within the APPS desktop, and support tiling, resizing, minimizing, and maximizing. They contain other Swing components, such as JPanels and JScrollPanes, to organize the module's user interface widgets"
client	com.l3com.apps.ccnmgmt.gui.LegendDialog.java	CCN (Change Control Number) Management	"A small window that provides additional functionality for a module, such as preference setting or filtering"
client	com.l3com.apps.ccnmgmt.gui.models.CCNTableModel.java	CCN (Change Control Number) Management	An implementation of the javax.swing.table.TableModel interface. Supplied to a javax.swing.JTable as the model component of the underlying MVC architecture used by Java Swing components
client	com.l3com.apps.ccnmgmt.gui.PomSeriesTypeComparatorChain.java	CCN (Change Control Number) Management	An extension of java.util.Comparator that contains the logic necessary to compare two Java objects and determine their sort order
client	com.l3com.apps.ccnmgmt.manager.CCNManager.java	CCN (Change Control Number) Management	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.ccnmgmt.manager.CCNRepository.java	CCN (Change Control Number) Management	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.ccnmgmt.security.CCNSecurityManager.java	CCN (Change Control Number) Management	Performs communication with the server using the HTTPS protocol. Marshals outgoing messages (Java objects) to an XML representation. Unmarshals incoming messages from XML to Java objects
client	com.l3com.apps.commongui.actions.AboutAction.java	About APPS	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
